Date (yyyy.mm),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
1850.01,9.156095679299603e-09,5.212276114273675e-08,5.121826658749204e-09,0.04091886745275743,0.005728072275068862,7.111921013419923,7.441995012241402,0.04222467498583806,0.017345872276042017,0.059570547360107196
1850.02,2.297076783356763e-08,1.7729684057793786e-07,2.4361510841216725e-08,0.09515006211384511,0.016162975643826644,6.194431998541804,6.643552756310911,0.03834547497277891,0.030526121869771362,0.06887159704437162
1850.03,6.03657717139317e-08,3.141346812197266e-07,6.990627026894513e-08,0.15014778669664067,0.040023451118029345,5.660602633761295,5.991760631627853,0.05881959296987645,0.06104673473662981,0.11986632830229901
1850.04,1.3287931588707117e-07,5.780553218107377e-07,1.397934910934062e-07,0.209001849107333,0.06592567314968233,6.34990629732732,6.173231565813299,0.1263814958285558,0.08795161114427005,0.2143331079571713
1850.05,1.8348477889860422e-07,8.57385327398456e-07,1.611893903726541e-07,0.23679050798684734,0.0661027532709129,8.56574295121464,6.964047411916561,0.19177218450390054,0.0927153977397686,0.2844875839550737
1850.06,1.5419876881251606e-07,9.377161369923713e-07,1.341634754529456e-07,0.21184708783841066,0.04454177467915981,11.366160462318527,8.02816415273592,0.23113077891687686,0.08496122625097932,0.31609200679613136
1850.07,1.3948743363548278e-07,7.720033076758329e-07,1.2131932129886105e-07,0.18280068341587014,0.03952216380701716,13.715531751136298,8.998571339176022,0.22306556823999116,0.07751868474848891,0.30058425439128966
1850.08,1.1609186314108836e-07,6.210612739863739e-07,1.0242614829571238e-07,0.1523989024032124,0.03349253150784524,15.403145075495939,10.06377031847446,0.18822940007526462,0.06855863644820952,0.25678803712504705
1850.09,9.124321536046938e-08,4.491908228815734e-07,7.946886353458164e-08,0.1298313214877457,0.030077357568935665,13.874726179065425,10.722183354070644,0.1630670537281924,0.060159399948643694,0.2232264545691834
1850.10,5.1927201481938924e-08,2.230160972193375e-07,3.803479858131936e-08,0.09025508100709721,0.021095497503484807,12.636444570087553,10.78840125536126,0.12754666500864087,0.044418790340053374,0.171965454416613
1850.11,1.998605545662383e-08,7.211159313777487e-08,8.646944409373973e-09,0.05296861205676173,0.010871693334363995,10.886095589161124,10.152770324618688,0.08513553980374998,0.02878402675140872,0.11391956654977398
1850.12,1.06563738518166e-08,3.287298531743747e-08,3.1293343175610685e-09,0.03534098719895851,0.006020435801068321,8.73741531881707,8.710921692767746,0.057577483277258396,0.020364955289924002,0.07794243830669596
1851.01,9.3990369307134e-09,5.4081451441546584e-08,5.762915944083218e-09,0.040713672131984194,0.0061725683928819195,7.020190407778568,7.301882869149762,0.04212182092567123,0.01753723703043899,0.059659057786709456
1851.02,2.0714845253803596e-08,1.5315894060757967e-07,2.1560452294631988e-08,0.08936139455177058,0.015281219472266305,5.722185256087269,6.102603570764314,0.040584171209237616,0.0288596575201098,0.06944382860769581
1851.03,5.860663469093012e-08,2.876155883414569e-07,6.135025468524219e-08,0.14418692900119393,0.03620781317439661,5.703212534712024,5.848631510625262,0.05933141038565649,0.05938008134505339,0.11871149058417199
1851.04,1.2598937349713127e-07,5.636539023672667e-07,1.4041613861805922e-07,0.20635421091663042,0.06605994277999008,6.655357585446045,6.311582896393847,0.11342082671817154,0.08622103402845838,0.19964186082110816
1851.05,1.967112780306641e-07,8.873533554637053e-07,1.7945385597298052e-07,0.24673855055095356,0.07220434530032825,8.574646290356068,7.066105190143386,0.20101022293033632,0.09323865697749156,0.2942488817221868
1851.06,1.5983454614805278e-07,9.122183174802862e-07,1.4288633294426403e-07,0.20524645429039085,0.04577587537623972,11.611945256828584,7.971591883680583,0.23118463435932324,0.08575937882869995,0.31694401325017424
1851.07,1.5411492145383385e-07,8.456300772158915e-07,1.3104140227500703e-07,0.1924324798121014,0.04116826178531818,14.360291244749552,9.00174907448536,0.22434055114915025,0.08115904614406903,0.3054995966900603
1851.08,1.2423475679326598e-07,6.453832065907975e-07,1.0484403034309237e-07,0.15695233732771055,0.03457410721719166,16.115809969344863,10.01171670512811,0.1937015133373556,0.07114708640868354,0.2648485981724219
1851.09,8.455434599210469e-08,4.1444071437154295e-07,7.101576526717985e-08,0.11786179152492662,0.02692740214678079,14.760454879530919,10.741874790296377,0.15524900836823877,0.056164275730056924,0.21141328399783818
1851.10,5.596929886325692e-08,2.4980341200641147e-07,4.892971126824649e-08,0.09596951459259505,0.024860427939006127,12.430193364886929,10.68250397420112,0.12373208709307437,0.04497741377623889,0.16870950073084395
1851.11,2.5353038413318734e-08,8.539689838258473e-08,1.2827173132654384e-08,0.06182972115524963,0.014184567699299542,9.755920392302418,9.494675126589444,0.09334208895005831,0.030704932526063333,0.12404702216679271
1851.12,1.10132736283277e-08,2.968920892493303e-08,2.577060702191399e-09,0.03599397821003319,0.006117680649177621,7.460451914237509,7.774469082189647,0.06375576626616464,0.01928784290161828,0.08304360892760378
1852.01,7.787575693574155e-09,4.324424266113926e-08,3.7327566031533e-09,0.03665858903651553,0.004745860118631201,5.54223464503258,5.985233906491054,0.04627748987397335,0.01500875236359421,0.06128624221957666
1852.02,2.1487947730462946e-08,1.5616826549978695e-07,1.9298764012099793e-08,0.09075976581760088,0.013885586193611963,4.9129112016982575,5.144607468410021,0.0408893615825553,0.028754975790352973,0.06964433756757336
1852.03,7.121139612878883e-08,3.2698919514818644e-07,7.520172251083155e-08,0.16233837613293267,0.04242962389271776,5.122656829355013,5.238148220819246,0.05942849509611202,0.06394458961044375,0.1233730849420841
1852.04,1.409736327923717e-07,5.82977611627432e-07,1.485602748207163e-07,0.21963976770849652,0.07096900512395939,5.532205661573389,5.4589418419399705,0.13704649059316026,0.08951585846091942,0.22656234882717985
1852.05,1.964461724358946e-07,8.641483316302093e-07,1.7631548900964707e-07,0.24419768577924372,0.0698634283369286,8.110591176823949,6.258779256287401,0.20162821649706672,0.0947392557870914,0.29636747137193764
1852.06,1.823289918619918e-07,9.508001310390577e-07,1.4393434817495231e-07,0.21472705332135528,0.047051904809586695,11.722695075734702,7.403716012380711,0.2483032321187169,0.08703800708851271,0.3353412399852201
1852.07,1.5038474704001197e-07,7.672995360759419e-07,1.2237730251146676e-07,0.18317308522113065,0.03961719336251351,12.65681304747773,8.642073658616576,0.2243657993781764,0.08033501665053176,0.3047008154705334
