Date (yyyy.mm),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
2015.01,1.4386243782812127e-08,3.990132377427925e-08,6.8983212331733975e-09,0.046715558383552964,0.010972184090654289,8.090633569052905,7.94908934688515,0.014679336010711332,0.013369792162002936,0.028049128302896763
2015.02,2.2047918769505805e-08,1.214439543795358e-07,2.06838320282748e-08,0.08079844902982068,0.017370744125971376,7.282552614250845,7.287730767376404,0.01339260141609054,0.02145350657029566,0.034846107936192146
2015.03,4.472744460785623e-08,2.3669061117413272e-07,6.001324057422671e-08,0.106621536310414,0.03009772989548154,7.14535884932009,7.145850326612789,0.017538845443603377,0.046821570820373956,0.0643604153556219
2015.04,1.5517595626382812e-07,4.954601787016212e-07,3.0650319071494957e-07,0.17700261217627794,0.11802647775443167,8.60588608617588,7.38235651830883,0.03861789079488377,0.08162053722487644,0.12023842792528022
2015.05,2.1882524312896104e-07,5.120862942389694e-07,2.954615044831429e-07,0.20993905684620695,0.1518076632571061,9.557950469082623,7.808097732147843,0.06984509040775964,0.05373356674276363,0.12357865624712241
2015.06,1.29661825463445e-07,3.978355015942894e-07,1.6636236366678938e-07,0.1488600091941172,0.08523778979375962,12.9218479640199,8.38286630651513,0.06168042635946952,0.04336937619760034,0.10504980165159264
2015.07,9.139640151142992e-08,3.0095113070412173e-07,1.303906246413513e-07,0.13745168891141052,0.07485005538061827,16.5755215208836,8.780092556813331,0.04973314129729305,0.03683883965353268,0.08657198099593291
2015.08,6.879854243045387e-08,2.5975748665324783e-07,9.389657970203043e-08,0.11719623078677605,0.055788612213912986,16.11155804656008,9.33633631819356,0.04194511715117645,0.034026230202618406,0.07597134709712311
2015.09,5.931293837007251e-08,2.2838504313295536e-07,6.455488170528526e-08,0.09873799076994587,0.03920275614353759,14.776438768567244,9.645326084864083,0.036970666031381536,0.03533447917042789,0.0723051448151188
2015.10,5.744430082663764e-08,1.9691248440278631e-07,5.325738654131701e-08,0.07810875243336078,0.026506001116765845,12.721703986922229,9.922740475198307,0.03388300941750681,0.038587255225372236,0.07247026487540476
2015.11,3.863942341075728e-08,8.41877953846051e-08,1.8835210220093157e-08,0.057321033491180146,0.015361764301520961,10.695871356825945,9.579670319138364,0.02692900295447515,0.02696387621519864,0.05389287910704355
2015.12,1.993262732071284e-08,4.3081480325418836e-08,7.0087632526334e-09,0.04823110865099005,0.010626493643650842,8.814898127818752,8.625575641935672,0.018260157329015998,0.016706088583121087,0.03496624605972292
2016.01,1.4902997943841157e-08,4.510510804433889e-08,7.316999057630101e-09,0.04854254731158633,0.010476592353471969,7.715298923659746,7.748678709855208,0.014299902309117216,0.014331819564558063,0.028631722113649498
2016.02,2.110949456771778e-08,1.2657647386579097e-07,2.047354147574131e-08,0.08505592401079548,0.017470764828137815,6.719032110669642,6.851671347433545,0.012764110231252783,0.021355265812178562,0.034119375771651465
2016.03,5.9226500794372655e-08,2.7314931060045463e-07,8.268087185860876e-08,0.12402907318480623,0.04101127827738227,6.442359188609889,6.5405568482152585,0.019922439555870575,0.06375619349021762,0.08367863258471861
2016.04,1.4184857365676664e-07,4.6722510932677274e-07,2.660289261595852e-07,0.17769067286980347,0.11382943522215619,7.58390673572405,6.7673779357091695,0.041456117237235364,0.0730074013734513,0.11446351893518507
2016.05,2.320724122912227e-07,6.116524959984758e-07,3.757646939816639e-07,0.23220952092659775,0.17159471121592326,9.26788719734692,7.754813190280913,0.07172709353773653,0.06676744494144252,0.1384945388127851
2016.06,1.5685196082702605e-07,3.841562846423046e-07,1.723070010970431e-07,0.15644014223044506,0.09848036807483086,13.872170230331275,8.250457015609173,0.07092981528722886,0.04491832828433863,0.1158481429642106
2016.07,8.419170062351268e-08,2.9951786189881175e-07,1.0022309984599901e-07,0.1206769857710177,0.05544051365335276,16.56251666009135,8.708248741494499,0.04923749585355892,0.03890050105004116,0.08813799699973093
2016.08,7.061928065695015e-08,2.796400098825965e-07,8.283387725034522e-08,0.10988959689122287,0.04341771689521813,17.900300303264096,9.17258247446981,0.04099762452874773,0.04046235851265187,0.0814599829264096
2016.09,5.927732849313147e-08,2.2370005412447235e-07,5.693535435441968e-08,0.09143122242661017,0.03155045689902123,15.925405764642216,9.90245599292538,0.03558091689655552,0.03634429814740677,0.07192521507775526
2016.10,5.688714656172517e-08,1.8744812561544099e-07,4.165795943485946e-08,0.07409366780651873,0.021816906595125658,13.288815978814789,10.170640898414511,0.033523354824677665,0.03968736915286011,0.07321072363081667
2016.11,3.8808357768079984e-08,8.30670172417364e-08,2.051774283598096e-08,0.05595527521848321,0.016420279101958382,11.04568296660007,9.567620595963005,0.027832845221725112,0.027045457277118184,0.05487830215540715
2016.12,1.944599121270971e-08,3.6791473913630956e-08,6.180246679562874e-09,0.04365526261134196,0.010034892746944385,9.356657537226845,8.78545145905565,0.018505917909908152,0.016562504268752273,0.035068422214407854
2017.01,1.4204301137423642e-08,4.4805056094328674e-08,7.3085880584384546e-09,0.04649496028986434,0.010185857145583106,8.111729890077287,7.948118540149589,0.01401323227446858,0.013771565297994379,0.027784797418232424
