Date (yyyy),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
2015,8.647844353386796e-08,4.2585387388493125e-07,7.417021713273714e-08,0.1300473053241174,0.031009971405675952,9.801338970732454,7.971160658783539,0.12474589533030277,0.054865970933950126,0.17961186607832982
2016,9.088975509720301e-08,4.1394305530551274e-07,7.518270106280508e-08,0.1354746798822838,0.03298605341674362,8.395058294993927,6.911167919035791,0.13205556947113153,0.05695035878956889,0.18900592817527548
2017,8.867850375120301e-08,4.403155855177136e-07,7.70922456218117e-08,0.13295426603188862,0.03146454369833627,9.865756545755017,7.642610051939411,0.13345979549440387,0.055215274458879166,0.1886750700609017
2018,8.881355989524052e-08,4.3133326631364023e-07,7.914254012093653e-08,0.13226498883207385,0.03267732800578865,9.632481595885428,8.100576770027741,0.13147866897871915,0.05529112136252381,0.18676978998975044
2019,9.38346089314859e-08,4.2749080517636346e-07,8.229086162689669e-08,0.1364966237744574,0.0347095845132065,9.22036231141376,7.549022258603419,0.13246444208992159,0.05658234901914865,0.18904679140791072
2020,8.875201642726032e-08,4.481746886252343e-07,8.194550195560002e-08,0.12875257934986292,0.03135543803775152,10.50645593271095,8.540030988909033,0.1278800455244059,0.05369547256629117,0.1815755179232468
2021,8.73184006109621e-08,4.4086713902223753e-07,8.197021239812708e-08,0.12828295971129866,0.03187385744015727,9.99269834989534,8.21252934599622,0.13076806569864158,0.053776010495732864,0.18454407578767076
2022,8.95057733838361e-08,4.442218386803071e-07,8.42414751492245e-08,0.13227170225738596,0.033511614908403216,10.371712742635358,8.625179723285989,0.127956857319873,0.05457277320630116,0.18252963066377725
2023,8.501470417157748e-08,4.3101926574806036e-07,7.616495528429825e-08,0.12967717914824425,0.03148347238923476,10.402261691446576,8.455350823223894,0.12374015270948772,0.055504013369659565,0.17924416617847305
2024,8.475916640227604e-08,4.2364825960424927e-07,7.610939967408069e-08,0.1316254297299785,0.031878365401691276,9.657458466532546,7.983853668448165,0.1290107769732055,0.05593260713839043,0.18494338383434192
2025,8.398912677073827e-08,4.2329710481533143e-07,7.763180857582559e-08,0.13203227246825808,0.03249216574239137,9.379805906808702,7.841669749243202,0.12983393249654504,0.05477075846823834,0.18460469131291513
2026,8.884641012308962e-08,4.4448046072370796e-07,8.065134442257125e-08,0.13198185537152732,0.032373444783894284,10.010245568968486,8.013657451205008,0.13362681881818267,0.05405706949663051,0.1876838880346948
2027,8.497440169551276e-08,4.3557735721605215e-07,7.806033855442599e-08,0.1301794116876449,0.031607962257828734,10.238068841256954,8.260259401305932,0.1269183143350797,0.05537649065364045,0.18229480486974803
2028,8.124850151605876e-08,4.0126051834380687e-07,7.227171504700032e-08,0.12840170999666356,0.031659752644112374,9.533858168660956,8.067884956579364,0.12612121486482583,0.05531568724884431,0.18143690196580478
2029,8.422019305732091e-08,4.2121613449616216e-07,7.464992621216408e-08,0.12910108957248462,0.03083391561954058,9.984559217017184,8.011919919250113,0.12672693663063675,0.054981742679683476,0.1817086787614971
2030,8.226519919354213e-08,4.1399323059441636e-07,7.426943484013335e-08,0.12832622865957471,0.030837067069143614,9.841505697467344,8.34760228293631,0.1253391181005513,0.05339723622890444,0.1787363544971999
2031,8.965366594593445e-08,4.447398665342675e-07,8.104041929366229e-08,0.1319389270270065,0.032450211940177255,10.129521684934632,8.339702435611882,0.13054068151269652,0.05649233447651345,0.18703301596927724
2032,8.916902544491599e-08,4.4011624892409976e-07,8.108352880922924e-08,0.13274858045890406,0.0320190797742052,10.186840538643109,8.224125396170963,0.13267193951898174,0.054690969932020723,0.18736290962460134
