Date (yyyy.mm),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
2015.01,6.780041048404005e-09,3.708523412072825e-08,2.9558007802517543e-09,0.03065191691906523,0.003852229779742358,7.624423760500375,7.922760229503708,0.0375869559927772,0.013644421968074338,0.05123137783582508
2015.02,2.8886655298796515e-08,1.929132636007006e-07,2.8018388845534527e-08,0.10349403654063864,0.01789272190708224,5.324538205401578,6.278533397578536,0.03462700109309391,0.028678967610646533,0.06330596797901085
2015.03,7.930071146870927e-08,3.0475389361741053e-07,7.2588071234825e-08,0.1603456661093775,0.04349561001185845,4.882239681801588,5.361170850724624,0.0600985032795139,0.06006945554805323,0.12016795833167838
2015.04,1.2390357643552784e-07,6.114620395578203e-07,1.3641752837411844e-07,0.2089232314927456,0.061981425473613794,5.908696513329291,5.659018034121005,0.1219112352648409,0.08321805372780475,0.20512928878808379
2015.05,2.0120558229260362e-07,9.512525115961379e-07,1.695494489302002e-07,0.2413211550798618,0.06416497170765656,8.606088519058321,6.473716260409552,0.20613710660428852,0.09387431593595207,0.3000114214282174
2015.06,1.6850002116368872e-07,8.980242944000209e-07,1.3775100710111784e-07,0.1981357892176514,0.043772945283105845,12.291440287863104,7.554593053081027,0.2294665373220223,0.08651947356350534,0.31598601065769333
2015.07,1.4151352716347777e-07,7.254818670043347e-07,1.1791475214475051e-07,0.16924264333759448,0.03761554292321691,13.931033966527355,8.476630068842372,0.20612423754053344,0.0765202853619747,0.2826445233297843
2015.08,1.2103062302908373e-07,6.275836250458331e-07,1.018410399591736e-07,0.14946240741817665,0.03326809362332872,14.938372258076514,9.50248274452343,0.1843105312806182,0.06913981842834042,0.2534503500826506
2015.09,8.252431715327883e-08,4.119739472883411e-07,7.008808902040895e-08,0.11594350419730465,0.026500371667522754,13.541962332943307,10.270483265997427,0.15452465885319788,0.05525570606741716,0.20978036524326624
2015.10,5.039017789289777e-08,2.2594826675376564e-07,3.801398206261346e-08,0.08784101131029233,0.020716614262179214,12.364105586862658,10.44312602461357,0.12176862032801478,0.0421426077202673,0.16391122814979528
2015.11,2.310157557296526e-08,8.907115797424995e-08,1.16074419902843e-08,0.058783974490864324,0.012474809241849783,10.557497705776425,9.761469965491036,0.08313455753800293,0.029617217081478634,0.1127517743339821
2015.12,1.0604513886982298e-08,3.469638565983213e-08,3.2970551495670866e-09,0.03642232777583613,0.006384320986954802,7.645668830648912,7.949944010516176,0.057260798866729,0.019711328193887045,0.07697212677997078
2016.01,9.238185219243756e-09,5.0186173649269365e-08,4.698832319111826e-09,0.04400330292400869,0.006518900974041663,5.16838506376327,6.009060790652386,0.043828356167809404,0.017941336971218375,0.061769692810102084
2016.02,1.9233297557778918e-08,1.4211618365925639e-07,1.7990081559708913e-08,0.09071231393637602,0.014914093546751396,3.302810853661496,3.9660313591588157,0.04022426849013302,0.027868792540341386,0.06809306086644315
2016.03,6.630629390702828e-08,2.8270874796249474e-07,6.270080633301716e-08,0.16060872854510339,0.04076100061111129,3.3300359808091207,3.385515085023624,0.05428823374619786,0.06293905537046082,0.11722728914040802
2016.04,1.4322691770683214e-07,5.661947185481515e-07,1.4754374463660533e-07,0.23055698791048823,0.07367229121564937,4.3351567784084875,4.011473425052201,0.11921607310441713,0.09235347105429796,0.2115695459485569
2016.05,1.9502990233678618e-07,8.518107241092727e-07,1.6870764723699052e-07,0.24645714353413894,0.06958134428420897,6.3859004642731305,4.996758933901941,0.20425971035358778,0.09606365975448325,0.3003233699343428
2016.06,2.0145403777470568e-07,9.300683682121861e-07,1.4874198170231332e-07,0.21806032206935497,0.04980258171232064,10.245597021886725,6.371305008641849,0.2512793960722463,0.0908174663138231,0.3420968615033388
2016.07,1.5311750583501973e-07,7.735099301037568e-07,1.2303855472153196e-07,0.1805926004708961,0.03934325369917312,12.377776132074894,7.793762768234818,0.22728794370593267,0.07924540146030212,0.30653334600698917
2016.08,1.3143392771790265e-07,6.48551574962159e-07,1.0801214675370876e-07,0.15724925007118962,0.035556806253366983,13.575584562066094,9.016651463885264,0.2034614008340983,0.06981024438003502,0.2732716447927235
2016.09,9.204111991618022e-08,4.29055955695083e-07,7.67372927807769e-08,0.12233944146020348,0.028890237648969322,13.006058675422704,9.912458137018378,0.1702447725329806,0.05671334496043492,0.22695811834802906
2016.10,4.9930739364339217e-08,2.0570251014676344e-07,3.4886969699703835e-08,0.09183354319651679,0.02145661972850384,11.327236217119891,10.032881167079465,0.12676417000334694,0.04288562915614467,0.1696497980787511
2016.11,2.061652868362986e-08,6.884344031282246e-08,8.041608921050954e-09,0.05572922678074756,0.010944321833427062,9.798033793141416,9.375446610413935,0.08549709458429057,0.02863358936939577,0.11413068287380611
2016.12,9.048605146989605e-09,1.8568336304937832e-08,1.0927460891415136e-09,0.027553297688381502,0.004391189493399753,7.88812399729989,8.062670279366825,0.058315414058537726,0.018132314143889335,0.07644772779981455
2017.01,8.099548705380246e-09,5.1036054493940836e-08,3.7461110378623354e-09,0.037353038450042224,0.004323822422678603,6.949846526411896,7.202847137160679,0.04101749127693507,0.015100257512310089,0.05611774873160236
2017.02,2.257960807385505e-08,1.5344906597991983e-07,2.150112007180724e-08,0.08881652865746391,0.015491007872835218,5.413666848353086,6.232897714076842,0.037324671330661335,0.031320095322127685,0.06864476603944901
2017.03,7.175186818534275e-08,3.321914147438689e-07,8.368607394109656e-08,0.16072850374406428,0.045761426228963904,4.589528890486641,5.433128555617242,0.06099089793051503,0.057657093387087494,0.11864799132749901
2017.04,1.5064758265156147e-07,6.685932294348465e-07,1.4339272563441643e-07,0.22621696471857383,0.06453163121969359,5.078474178048008,5.246831817635842,0.15103363838032038,0.07840781422416215,0.2294414530505424
2017.05,1.9017023963471213e-07,9.782698952339731e-07,1.745161991499559e-07,0.2440928177776847,0.06147853442746802,7.989255593928165,5.783353016273583,0.23452893497359142,0.09298100441554179,0.32750993988905125
2017.06,1.7556294373498952e-07,9.09468307612869e-07,1.4669621872046037e-07,0.208398101293468,0.04713443842890465,12.203093370906359,6.780610607296892,0.2411646921096672,0.0907149303918514,0.3318796223774122
2017.07,1.4870069276125752e-07,7.829122447198915e-07,1.2247609477343276e-07,0.17914009835102504,0.039028821487347445,14.554061019642669,7.899391628074355,0.2177407371938921,0.07880022510286532,0.2965409637918992
2017.08,1.2974938700298863e-07,6.755632158479924e-07,1.1055099397136037e-07,0.15670681096284172,0.03540244946645617,15.796324192174993,8.960246947263906,0.19877008582590872,0.07018774373345156,0.2689578290240958
2017.09,8.702268906214756e-08,4.1691999903544695e-07,7.009794139483561e-08,0.11764432561321386,0.026911929452843587,14.57605127889549,9.769346527528638,0.15859507339744214,0.058061004896215955,0.2166560779018915
2017.10,4.8142484546278564e-08,2.0132424911885562e-07,3.454764025269855e-08,0.08516521593064627,0.019991634080087913,12.155197168960543,10.076810887773982,0.12166992173167668,0.04083708404557044,0.1625070060289193
2017.11,2.128306094173183e-08,7.95821642255409e-08,1.0397402274002203e-08,0.05676053525443457,0.011649740737216365,10.446593116217088,9.673807362203057,0.08229559737327544,0.029299958866588264,0.11159555615224208
2017.12,1.043193971419064e-08,3.447718576541729e-08,3.498426239812142e-09,0.03442825162920525,0.005869088555539779,8.636986365035273,8.65204842236793,0.05638580440896081,0.019216081608777906,0.07560188641621665
2018.01,8.452380214982544e-09,5.253006093404794e-08,5.217954579290575e-09,0.038356010225979065,0.0055583280843733585,7.270727031074687,7.589611039968685,0.041154543792474234,0.016420098553660733,0.05757464239010409
2018.02,2.357139451108035e-08,1.7222819922052996e-07,2.745749992775128e-08,0.0938450630605381,0.01753515423366226,5.889219979137931,6.493796140348568,0.03787017191042249,0.030811422314817486,0.06868159413339021
2018.03,8.752622182377232e-08,3.663209138947652e-07,8.911069363024533e-08,0.17242521582311263,0.048098318084478196,5.090654912826148,5.779639995495964,0.06987524753843993,0.060159484160827115,0.1300347316881917
2018.04,1.1657029882591655e-07,5.360933272265868e-07,1.2183428207213141e-07,0.1980036514669485,0.06026267051070148,5.515560416024567,5.798596104832193,0.13690890994143276,0.07914358513248977,0.21605249476648503
2018.05,1.9353405645537202e-07,8.206191778336867e-07,1.8692195884383393e-07,0.23557397848160408,0.07218282225404625,7.754927480742173,6.48580739103316,0.19639737141255434,0.09153140100466939,0.28792877155205787
2018.06,1.7794762382109858e-07,9.95548506244584e-07,1.5637745373675595e-07,0.21519437668385372,0.04778423528553816,11.383396483798448,7.470637620546457,0.2436718805840148,0.08462448944086814,0.32829637022428393
2018.07,1.589316016742769e-07,8.505950640416292e-07,1.3632367550064196e-07,0.18651099223370887,0.04123875921167196,13.151825166623912,8.554182252971042,0.22850378920850117,0.08116032334929342,0.30966411116628767
2018.08,1.2780273281699097e-07,6.24891205585927e-07,1.0298476973559033e-07,0.1539579843107873,0.03449733697238673,14.189559209988873,9.58426430333006,0.19959321155930085,0.07147762084965367,0.27107083178426267
2018.09,8.548432900546014e-08,4.221122135239361e-07,6.994211615277007e-08,0.11600090607409494,0.025989915283357087,14.375060988767748,10.42347786462016,0.15678413697517296,0.05679007278464757,0.21357420914194544
2018.10,5.4618991318573957e-08,2.4138772374085786e-07,4.298689585089525e-08,0.09312295307693533,0.022558253405168826,12.201154651045433,10.495769971666473,0.12242884919624941,0.04483043001230982,0.1672592787156632
2018.11,2.2230673808593802e-08,7.045013503855567e-08,9.09163696544464e-09,0.05587224101061242,0.01196040656706341,10.052899640383355,9.727150015603257,0.0869039843313269,0.02927897285922479,0.11618295705200171
