Date (yyyy.mm),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
2015.01,1.4690895519323737e-08,4.6654229551405166e-08,7.651251804546277e-09,0.04830728107135684,0.01099970681827293,8.08858633447493,7.915538410706027,0.014536050673440352,0.01358066905654069,0.02811671964229092
2015.02,2.6341502410359807e-08,1.4966895563557439e-07,2.4996886667650697e-08,0.08638718242828518,0.017823961309346326,7.672406880862198,7.5479367682519145,0.013259554134588385,0.025401004298188104,0.038660558377323344
2015.03,5.666527146936261e-08,2.754366184094082e-07,8.42331381938966e-08,0.11923608078643781,0.03884388096297756,7.083704738279605,7.053967725904062,0.020067344398566188,0.056689975342033516,0.07675731908054734
2015.04,1.4338157671174098e-07,5.048672330464946e-07,2.8015902609566687e-07,0.17660819623355267,0.10905275963369676,7.64057513806907,7.311955205211673,0.04100957480884793,0.07855697872838575,0.11956655370765445
2015.05,2.108953744408563e-07,5.040114831112513e-07,3.155600306158795e-07,0.20792270866511742,0.1547018100410099,10.401236311714742,7.7224812687213475,0.06824752082067997,0.06297459118790785,0.13122211175528659
2015.06,1.321863930914527e-07,3.784700821777561e-07,1.5678148816804864e-07,0.14956302468776045,0.08718839081826212,12.328041762378428,8.253489501364728,0.06364280974899654,0.042643443170536005,0.10628625355512764
2015.07,8.837855931765783e-08,3.1006752746402905e-07,1.077336538152391e-07,0.12357817605633767,0.05924234822298249,14.60749927219958,8.77777337619744,0.04873055969531068,0.03944747631729627,0.08817803635237231
2015.08,7.451437245024439e-08,2.659953889831128e-07,8.757708575425806e-08,0.1128822675680381,0.04976591918210062,16.661735183701925,9.28022161111661,0.04165780438451462,0.03910313303443857,0.08076093743578362
2015.09,6.501230400951512e-08,2.398952561095515e-07,6.778062544315317e-08,0.09895083479430146,0.03855981549957251,15.212778465699948,9.868716434979804,0.03715913722255249,0.038149903676471086,0.07530904118990571
2015.10,5.5449931454930965e-08,1.7949314853089792e-07,4.496441928043853e-08,0.07570213419653861,0.025939867138733173,12.941092388231649,9.743403185108598,0.03384627072651228,0.03772502838288414,0.07157129917762133
2015.11,3.775326798102124e-08,9.086408760650216e-08,1.9176168208135457e-08,0.06077000194667357,0.016714098535576073,10.32854857512478,9.174317325105232,0.027022884991858384,0.027885877184987317,0.0549087621813315
2015.12,1.9602897843877432e-08,3.379144359034112e-08,6.337815912870119e-09,0.04315833812439112,0.010890635068857896,8.772266034358774,8.435359801210897,0.018785313513096976,0.016590869495728095,0.0353761829183845
2016.01,1.4583585883834157e-08,5.811942594642579e-08,9.963884510965259e-09,0.05084721623085217,0.011415534049420228,7.758842237197355,7.549160188874551,0.013229858891240712,0.01359575416276424,0.026825613267635544
2016.02,2.4039611295832524e-08,1.2949693186937836e-07,2.449435145746236e-08,0.08083390551500708,0.017677782672976355,7.24487362302104,7.1732670340480365,0.012201201055437684,0.022958667155550373,0.03515986803815531
2016.03,5.697142323509286e-08,2.9432318941246024e-07,9.323157210870218e-08,0.13600341674253347,0.04649431871949559,6.2907041742642535,6.3978007800770165,0.018362621903119387,0.05761009904024825,0.075972721111032
2016.04,1.616944760687259e-07,5.075567839561588e-07,3.187515368860773e-07,0.19602968498216147,0.1361787215482348,6.979185854093018,6.463491899158687,0.04297584324204119,0.08159979985083303,0.12457564364582782
2016.05,2.285548380203604e-07,5.099180174019743e-07,3.2188223666995105e-07,0.22540274824644524,0.17110526526634037,9.501839774493293,7.150115770017102,0.07681500942864856,0.05825756694944937,0.13507257600090283
