Date (yyyy),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
2015,8.589357129787254e-08,4.336275646389454e-07,7.440109700930725e-08,0.12827793443438892,0.029819802723683522,10.462615490439761,8.38197514510612,0.12681786122480437,0.053936680131408156,0.18075454108571912
2016,8.63028594094218e-08,4.2562490769521657e-07,7.645499812371392e-08,0.13244899783299144,0.0320614588641017,9.656730330551868,7.922790476956252,0.12966247893818544,0.055688020278065874,0.1853504997022911
2017,8.460851634044375e-08,4.240704609755031e-07,7.49032825234481e-08,0.12782213260650896,0.030606089056781017,10.082565708327287,8.433144360558929,0.1256946674779951,0.05334373396547539,0.17903840150763894
2018,8.511656377366062e-08,4.423834984528086e-07,7.676632648550808e-08,0.1288949608312838,0.030559869510595184,10.519323901074017,8.700416761009658,0.12746031314611753,0.05396658462901264,0.1814268980839093
2019,8.58544934947316e-08,4.355833861881616e-07,7.61060662163856e-08,0.13019083534933815,0.03161611788160018,10.532178260506761,8.779918270791946,0.1230549716574381,0.05470846268680904,0.1777634342258113
2020,8.216580736400264e-08,4.126580277907e-07,7.179491171806397e-08,0.12650343749427168,0.030551481063811527,10.410031155430492,8.390985030762875,0.12177024103312267,0.05473779946907854,0.17650804040116908
2021,7.824946409115082e-08,4.135830326375389e-07,6.745981228627923e-08,0.12269320284033024,0.02818817093748095,10.895225520078137,9.088936022395677,0.11653498663842331,0.05342711114947409,0.16996209773291537
2022,8.118483316655967e-08,4.2559521170344063e-07,7.339669559043851e-08,0.12714269796289224,0.029951714936679367,10.254307649608005,8.353959942025861,0.12482330854415151,0.053680713738587814,0.1785040226480814
2023,8.431717671586337e-08,4.34293761743539e-07,7.3462818553288e-08,0.12929889292912325,0.02999574693947783,10.33282184491741,8.235267317511626,0.12559536394193083,0.05538477057042007,0.18098013447354297
2024,8.164762938210087e-08,4.1966358777200296e-07,7.408876033057127e-08,0.1272233857688509,0.03085982265000042,10.422359279661192,8.427457074218337,0.1218511498250721,0.05373736615894672,0.17558851603042278
2025,9.143360955105893e-08,4.493792763626446e-07,8.14626516123645e-08,0.1333618333404531,0.03171588036361748,9.75090849949097,7.852711722158489,0.13454238834020726,0.05489090431056561,0.1894332929519352
2026,8.661118364830676e-08,4.350521599390644e-07,7.919099096531622e-08,0.13072903902957966,0.03185174659303263,10.166015389193944,8.34792309322096,0.12776311568870885,0.054219841176374926,0.18198295653152205
2027,8.525852276468048e-08,4.4727591586490293e-07,7.890792932647067e-08,0.125853499859875,0.030077234429020324,11.238248354570493,8.756731337547368,0.12588118743760762,0.053773959441269836,0.1796551464217808
2028,8.514358578317323e-08,4.2840930136827226e-07,7.605340241370369e-08,0.12862158387327724,0.030777162935036417,10.131991330871053,8.259276197315694,0.12726168313121047,0.0552232372402967,0.18248492040237507
2029,8.776482870823048e-08,4.357633005776058e-07,7.936888987393904e-08,0.1305028937452139,0.031590207161102266,10.328039293189653,8.405845786470143,0.12706120065037355,0.0547444966323114,0.1818056974282273
2030,8.351036735606206e-08,4.150535264597792e-07,7.29126688769937e-08,0.12893978716322058,0.030960585657945624,10.055881355325637,8.309453702443966,0.12226911006013601,0.054675225122194165,0.17694433498250672
2031,8.239813236157715e-08,4.2054441292303483e-07,7.276636711011494e-08,0.12769121813207926,0.029595992207385288,10.292351839833168,8.295195808721488,0.1257814214480154,0.054338159999098586,0.18011958152693353
2032,8.053215075778045e-08,4.0462185971001727e-07,6.834495686851143e-08,0.12574382880853088,0.029144619127461063,9.978322841628005,8.36578076970567,0.1209287021413738,0.05376248152409329,0.17469118368925998
2033,8.157917971324663e-08,4.174614067967793e-07,7.020746449078255e-08,0.12834395001993174,0.02998951047316367,10.112917626060483,8.113167639820029,0.12352560450363377,0.05438495397263272,0.17791055840246128
2034,8.33947459935134e-08,4.1291751888347725e-07,7.152493734084031e-08,0.13200735475310207,0.031044988537487165,8.906005055186514,7.55142595501987,0.13142665707059706,0.056492578166607126,0.187919235192907
2035,8.529101128096519e-08,4.1890131345590645e-07,7.243617590474223e-08,0.12842024849981326,0.029976163655418067,9.652235528693325,7.612483726480362,0.12880784955372152,0.0555212275208661,0.18432907675975882
2036,8.257834349321454e-08,4.0091302592306937e-07,6.676599487396283e-08,0.12758658981729257,0.029305707103599806,9.6049734795038,7.800802650846678,0.12228618469888204,0.054768543158319534,0.17705472802951003
2037,7.969388836198882e-08,4.20061547626824e-07,6.863080067183424e-08,0.12510771411232977,0.02724177774515431,10.485073046759224,8.533762087056369,0.12339550027191361,0.0526580308094527,0.1760535312809335
2038,8.2119519918974e-08,4.225001971292156e-07,7.035390720256853e-08,0.12590810358183127,0.028222995352802097,9.944949703781935,8.099639509579303,0.1259407365168354,0.05335596872192037,0.17929670554048852
2039,8.346915212183081e-08,4.3119000893286615e-07,7.463919809792315e-08,0.12645441774500668,0.02913452934682638,10.50944247141157,8.889519299340735,0.12656519623965343,0.05367729375781393,0.18024249041175242
2040,8.30828882651353e-08,4.177909585287024e-07,7.289974563291801e-08,0.12917241267991209,0.030497588800774227,9.668431310046197,8.188212777510808,0.12911719385459555,0.05418877282409385,0.18330596691732962
2041,8.507867741689356e-08,4.318387876684284e-07,7.78140928306815e-08,0.12902553257967678,0.03136877049126218,10.091577636885559,8.152942517646506,0.1280967482312407,0.05321572850747852,0.1813124766530163
2042,8.731738937430305e-08,4.478054601284641e-07,8.26776671041339e-08,0.12958062646943877,0.031785675371143275,10.536653904977907,8.71946909402426,0.12898654640526117,0.05394946183189709,0.18293600831811208
2043,8.597648085023884e-08,4.421750670544997e-07,8.047221086427273e-08,0.12824432959678236,0.03189164351156127,10.881623866995897,9.128396441484098,0.1255388959005837,0.05447414010202135,0.18001303606107247
2044,7.934404220219118e-08,4.1903970490700257e-07,7.422885176952898e-08,0.1249565044191343,0.030252251501114824,10.851297713489238,8.937417139627957,0.12075655850466488,0.05292357881164934,0.1736801371252621
2045,8.347797135029655e-08,4.321526399904613e-07,7.655708036928606e-08,0.12888925341960686,0.031229595067901305,10.69795221696439,8.786664542991183,0.12502899783779878,0.055826442639910163,0.18085544043070337
2046,8.459379284937429e-08,4.295908881323014e-07,7.689365884907818e-08,0.12441279998667336,0.03021913278777805,11.101250146501274,9.040340634268139,0.12263111174996606,0.05297333589321004,0.17560444740209866
2047,8.6582820925157e-08,4.4715224662519404e-07,8.083910106058726e-08,0.1282704367990101,0.031364267709846384,11.052782538235418,9.14341529081008,0.12447822400780141,0.05399489092985612,0.1784731149387738
2048,8.239162106092568e-08,4.3803451133676025e-07,8.0137853712526e-08,0.1263682190938629,0.030739721745833195,10.962488389459734,9.314454235104542,0.12652397153398673,0.052546933741872366,0.17907090512402415
2049,8.586933174619517e-08,4.460394363099424e-07,8.085084653975811e-08,0.13047338253613197,0.032130238923478736,10.846208394746663,9.034103999514313,0.12692289822794073,0.054915778554183364,0.18183867658415184
2050,8.564998103429096e-08,4.265438095359848e-07,7.714987014917251e-08,0.12891383016158978,0.031355120019904446,9.813185858478816,8.059294931492365,0.12957081695526426,0.0540098918657381,0.1835807084910606
2051,8.600000233881254e-08,4.4689801517594427e-07,8.302999808276364e-08,0.12666744235466748,0.030874058214888016,10.986246991895271,9.371768656203736,0.12697473787507166,0.05207114170807053,0.1790458799312498
2052,8.32595896345326e-08,4.4451929845460884e-07,7.600423116449401e-08,0.12594177579315244,0.029194789971178015,10.972283006067537,9.113610272487671,0.12365373269538704,0.053018442074245074,0.17667217468505128
2053,8.118595554812299e-08,4.196117491281149e-07,7.320813250102591e-08,0.12321187190627066,0.02947074628386075,11.15126365350222,9.393292986648575,0.11865579564869143,0.051805388067306564,0.17046118324595128
2054,8.273760871605762e-08,4.2106363911624284e-07,7.136437797701172e-08,0.12607663927479926,0.029724635898577923,10.97987152999422,8.572295021733497,0.12114776491720852,0.05377085770445477,0.1749186223634138
2055,8.363444417741725e-08,4.382767073277251e-07,7.477187268441186e-08,0.126373059769574,0.02957283098198492,11.523909406322923,9.612781790545254,0.11922503750992025,0.05347037463302103,0.17269541186136783
2056,8.122015345257248e-08,4.274704737767914e-07,7.418503297476676e-08,0.12534283991168368,0.029651692699819224,11.127351526028574,9.082803023213149,0.12031649870729093,0.052771051735300334,0.1730875504073909
2057,8.350488313956377e-08,4.318041002720152e-07,7.639845815964857e-08,0.1262092084415343,0.030424291544293002,11.101548660892815,9.225486079661595,0.1180170051280043,0.05392462910386656,0.17194163475933996
2058,8.127397560020328e-08,4.311899768276412e-07,7.502134139080165e-08,0.12231322639738962,0.028493724857962616,11.277297937468143,9.434645168247735,0.12234346565498087,0.050886523953610506,0.1732299894224669
2059,8.776224471767062e-08,4.621717341926535e-07,8.442113240320599e-08,0.12584288486101863,0.0303409813678623,11.759780126530915,9.634801540782702,0.12573072463858376,0.05084535880315911,0.1765760832942811
2060,8.461195934760743e-08,4.4579418128499604e-07,8.103020753887976e-08,0.1257622664774497,0.029919658075855993,11.583312846532598,9.628928438614286,0.12310355912650932,0.05200695536767091,0.1751105149250405
2061,8.22792389919902e-08,4.3937844355316447e-07,7.605026005359982e-08,0.12478096620076086,0.029425182877199394,11.286368576039058,9.49197419195877,0.1222373554256372,0.05132377296014031,0.17356112810090105
2062,8.201766656380186e-08,4.43401157739571e-07,7.322647908554125e-08,0.12243187662764203,0.027345295421650734,11.41986372890801,9.673277170176613,0.12319146153914683,0.05186166810412962,0.17505312971091472
2063,8.178440566689289e-08,4.2478530401231013e-07,6.96523091795206e-08,0.12251664288428434,0.027405291458496826,11.36636884215664,9.404399443640711,0.11790092968641615,0.052147324319779635,0.1700482537121132
2064,8.101883630144639e-08,4.2046139303543215e-07,6.82182897150288e-08,0.123260887939726,0.027618275098467815,11.257899892336686,9.04199977443454,0.11832875341519479,0.05295044654641765,0.17127919999369987
2065,8.353400591096328e-08,4.3308154106080017e-07,7.243232118468387e-08,0.1235330069487079,0.027873288483183017,11.014016255913212,9.187366567518858,0.12381077022870195,0.05118556471348042,0.17499633495177813
2066,8.077408792239899e-08,4.263089681038344e-07,6.874771362175717e-08,0.12348656622492969,0.027310713837921077,11.416638362344592,9.36955887238148,0.11895296657676553,0.05300209183898987,0.17195505825977372
2067,8.019635900382658e-08,4.2593812340656007e-07,6.974986700250426e-08,0.12476559613609095,0.02815119462057282,11.288611694804885,9.236300295459252,0.12021640410531127,0.0518329473621519,0.17204935163548643
2068,8.098440531677646e-08,4.3047479678019574e-07,6.971120899067606e-08,0.12505551760085526,0.028025806499098378,11.322372823430314,9.270535981065457,0.12064776942422896,0.053034219343253114,0.1736819889729149
2069,7.648324945498457e-08,4.10248880836667e-07,6.614370597805615e-08,0.11977361151858647,0.026810861767374076,11.554811065074517,9.6321875348506,0.11431055227840414,0.051482285911141755,0.1657928379253039
2070,8.181167628528853e-08,4.3432034910110046e-07,6.865803064717197e-08,0.12491239912890457,0.027189671179222077,11.053101600230091,9.094309452124042,0.1225759047248181,0.0522740631689337,0.17484996832655822
