Sprat Sandeel N.pout Herring Dab Whiting Sole Gurnard Plaice Haddock Cod Saithe
2015 8.886249814758 8.886249814758 8.886249814758 8.886249814758 8.886249814758 8.886249814758 8.886249814758 8.886249814758 8.886249814758 8.886249814758 8.886249814758 8.886249814758
2016 7.65311310701486 7.65311310701486 7.65311310701486 7.65311310701486 7.65311310701486 7.65311310701486 7.65311310701486 7.65311310701486 7.65311310701486 7.65311310701486 7.65311310701486 7.65311310701486
2017 8.75418329884721 8.75418329884721 8.75418329884721 8.75418329884721 8.75418329884721 8.75418329884721 8.75418329884721 8.75418329884721 8.75418329884721 8.75418329884721 8.75418329884721 8.75418329884721
2018 8.86652918295658 8.86652918295658 8.86652918295658 8.86652918295658 8.86652918295658 8.86652918295658 8.86652918295658 8.86652918295658 8.86652918295658 8.86652918295658 8.86652918295658 8.86652918295658
2019 8.38469228500859 8.38469228500859 8.38469228500859 8.38469228500859 8.38469228500859 8.38469228500859 8.38469228500859 8.38469228500859 8.38469228500859 8.38469228500859 8.38469228500859 8.38469228500859
2020 9.52324346080999 9.52324346080999 9.52324346080999 9.52324346080999 9.52324346080999 9.52324346080999 9.52324346080999 9.52324346080999 9.52324346080999 9.52324346080999 9.52324346080999 9.52324346080999
2021 9.10261384794578 9.10261384794578 9.10261384794578 9.10261384794578 9.10261384794578 9.10261384794578 9.10261384794578 9.10261384794578 9.10261384794578 9.10261384794578 9.10261384794578 9.10261384794578
2022 9.49844623296067 9.49844623296067 9.49844623296067 9.49844623296067 9.49844623296067 9.49844623296067 9.49844623296067 9.49844623296067 9.49844623296067 9.49844623296067 9.49844623296067 9.49844623296067
2023 9.42880625733524 9.42880625733524 9.42880625733524 9.42880625733524 9.42880625733524 9.42880625733524 9.42880625733524 9.42880625733524 9.42880625733524 9.42880625733524 9.42880625733524 9.42880625733524
2024 8.82065606749036 8.82065606749036 8.82065606749036 8.82065606749036 8.82065606749036 8.82065606749036 8.82065606749036 8.82065606749036 8.82065606749036 8.82065606749036 8.82065606749036 8.82065606749036
2025 8.61073782802595 8.61073782802595 8.61073782802595 8.61073782802595 8.61073782802595 8.61073782802595 8.61073782802595 8.61073782802595 8.61073782802595 8.61073782802595 8.61073782802595 8.61073782802595
2026 9.01195151008675 9.01195151008675 9.01195151008675 9.01195151008675 9.01195151008675 9.01195151008675 9.01195151008675 9.01195151008675 9.01195151008675 9.01195151008675 9.01195151008675 9.01195151008675
2027 9.24916412128144 9.24916412128144 9.24916412128144 9.24916412128144 9.24916412128144 9.24916412128144 9.24916412128144 9.24916412128144 9.24916412128144 9.24916412128144 9.24916412128144 9.24916412128144
2028 8.80087156262016 8.80087156262016 8.80087156262016 8.80087156262016 8.80087156262016 8.80087156262016 8.80087156262016 8.80087156262016 8.80087156262016 8.80087156262016 8.80087156262016 8.80087156262016
2029 8.99823956813365 8.99823956813365 8.99823956813365 8.99823956813365 8.99823956813365 8.99823956813365 8.99823956813365 8.99823956813365 8.99823956813365 8.99823956813365 8.99823956813365 8.99823956813365
2030 9.09455399020183 9.09455399020183 9.09455399020183 9.09455399020183 9.09455399020183 9.09455399020183 9.09455399020183 9.09455399020183 9.09455399020183 9.09455399020183 9.09455399020183 9.09455399020183
2031 9.23461206027326 9.23461206027326 9.23461206027326 9.23461206027326 9.23461206027326 9.23461206027326 9.23461206027326 9.23461206027326 9.23461206027326 9.23461206027326 9.23461206027326 9.23461206027326
2032 9.20548296740704 9.20548296740704 9.20548296740704 9.20548296740704 9.20548296740704 9.20548296740704 9.20548296740704 9.20548296740704 9.20548296740704 9.20548296740704 9.20548296740704 9.20548296740704
2033 8.79344194503652 8.79344194503652 8.79344194503652 8.79344194503652 8.79344194503652 8.79344194503652 8.79344194503652 8.79344194503652 8.79344194503652 8.79344194503652 8.79344194503652 8.79344194503652
2034 8.93871716643707 8.93871716643707 8.93871716643707 8.93871716643707 8.93871716643707 8.93871716643707 8.93871716643707 8.93871716643707 8.93871716643707 8.93871716643707 8.93871716643707 8.93871716643707
2035 9.30889352523501 9.30889352523501 9.30889352523501 9.30889352523501 9.30889352523501 9.30889352523501 9.30889352523501 9.30889352523501 9.30889352523501 9.30889352523501 9.30889352523501 9.30889352523501
2036 9.81936605755378 9.81936605755378 9.81936605755378 9.81936605755378 9.81936605755378 9.81936605755378 9.81936605755378 9.81936605755378 9.81936605755378 9.81936605755378 9.81936605755378 9.81936605755378
2037 10.0348045641671 10.0348045641671 10.0348045641671 10.0348045641671 10.0348045641671 10.0348045641671 10.0348045641671 10.0348045641671 10.0348045641671 10.0348045641671 10.0348045641671 10.0348045641671
2038 9.4862121218078 9.4862121218078 9.4862121218078 9.4862121218078 9.4862121218078 9.4862121218078 9.4862121218078 9.4862121218078 9.4862121218078 9.4862121218078 9.4862121218078 9.4862121218078
2039 9.11705553700228 9.11705553700228 9.11705553700228 9.11705553700228 9.11705553700228 9.11705553700228 9.11705553700228 9.11705553700228 9.11705553700228 9.11705553700228 9.11705553700228 9.11705553700228
2040 9.48230565498494 9.48230565498494 9.48230565498494 9.48230565498494 9.48230565498494 9.48230565498494 9.48230565498494 9.48230565498494 9.48230565498494 9.48230565498494 9.48230565498494 9.48230565498494
2041 9.53799535993744 9.53799535993744 9.53799535993744 9.53799535993744 9.53799535993744 9.53799535993744 9.53799535993744 9.53799535993744 9.53799535993744 9.53799535993744 9.53799535993744 9.53799535993744
2042 9.22961458320871 9.22961458320871 9.22961458320871 9.22961458320871 9.22961458320871 9.22961458320871 9.22961458320871 9.22961458320871 9.22961458320871 9.22961458320871 9.22961458320871 9.22961458320871
