Sprat Sandeel N.pout Herring Dab Whiting Sole Gurnard Plaice Haddock Cod Saithe
1950 8.98712407496103 8.98712407496103 8.98712407496103 8.98712407496103 8.98712407496103 8.98712407496103 8.98712407496103 8.98712407496103 8.98712407496103 8.98712407496103 8.98712407496103 8.98712407496103
1951 8.61785081322798 8.61785081322798 8.61785081322798 8.61785081322798 8.61785081322798 8.61785081322798 8.61785081322798 8.61785081322798 8.61785081322798 8.61785081322798 8.61785081322798 8.61785081322798
1952 8.79129075910592 8.79129075910592 8.79129075910592 8.79129075910592 8.79129075910592 8.79129075910592 8.79129075910592 8.79129075910592 8.79129075910592 8.79129075910592 8.79129075910592 8.79129075910592
1953 9.37515117853153 9.37515117853153 9.37515117853153 9.37515117853153 9.37515117853153 9.37515117853153 9.37515117853153 9.37515117853153 9.37515117853153 9.37515117853153 9.37515117853153 9.37515117853153
1954 9.80591639564043 9.80591639564043 9.80591639564043 9.80591639564043 9.80591639564043 9.80591639564043 9.80591639564043 9.80591639564043 9.80591639564043 9.80591639564043 9.80591639564043 9.80591639564043
1955 9.14701863523087 9.14701863523087 9.14701863523087 9.14701863523087 9.14701863523087 9.14701863523087 9.14701863523087 9.14701863523087 9.14701863523087 9.14701863523087 9.14701863523087 9.14701863523087
1956 9.0355220573323 9.0355220573323 9.0355220573323 9.0355220573323 9.0355220573323 9.0355220573323 9.0355220573323 9.0355220573323 9.0355220573323 9.0355220573323 9.0355220573323 9.0355220573323
1957 8.88950615953989 8.88950615953989 8.88950615953989 8.88950615953989 8.88950615953989 8.88950615953989 8.88950615953989 8.88950615953989 8.88950615953989 8.88950615953989 8.88950615953989 8.88950615953989
1958 8.90390844338645 8.90390844338645 8.90390844338645 8.90390844338645 8.90390844338645 8.90390844338645 8.90390844338645 8.90390844338645 8.90390844338645 8.90390844338645 8.90390844338645 8.90390844338645
1959 8.9306621175039 8.9306621175039 8.9306621175039 8.9306621175039 8.9306621175039 8.9306621175039 8.9306621175039 8.9306621175039 8.9306621175039 8.9306621175039 8.9306621175039 8.9306621175039
1960 9.59058014840392 9.59058014840392 9.59058014840392 9.59058014840392 9.59058014840392 9.59058014840392 9.59058014840392 9.59058014840392 9.59058014840392 9.59058014840392 9.59058014840392 9.59058014840392
1961 8.94151302697745 8.94151302697745 8.94151302697745 8.94151302697745 8.94151302697745 8.94151302697745 8.94151302697745 8.94151302697745 8.94151302697745 8.94151302697745 8.94151302697745 8.94151302697745
1962 9.11703207478764 9.11703207478764 9.11703207478764 9.11703207478764 9.11703207478764 9.11703207478764 9.11703207478764 9.11703207478764 9.11703207478764 9.11703207478764 9.11703207478764 9.11703207478764
1963 9.45093094312195 9.45093094312195 9.45093094312195 9.45093094312195 9.45093094312195 9.45093094312195 9.45093094312195 9.45093094312195 9.45093094312195 9.45093094312195 9.45093094312195 9.45093094312195
1964 9.80747519600382 9.80747519600382 9.80747519600382 9.80747519600382 9.80747519600382 9.80747519600382 9.80747519600382 9.80747519600382 9.80747519600382 9.80747519600382 9.80747519600382 9.80747519600382
1965 9.11144464744011 9.11144464744011 9.11144464744011 9.11144464744011 9.11144464744011 9.11144464744011 9.11144464744011 9.11144464744011 9.11144464744011 9.11144464744011 9.11144464744011 9.11144464744011
1966 9.20381960716094 9.20381960716094 9.20381960716094 9.20381960716094 9.20381960716094 9.20381960716094 9.20381960716094 9.20381960716094 9.20381960716094 9.20381960716094 9.20381960716094 9.20381960716094
1967 9.68383924097706 9.68383924097706 9.68383924097706 9.68383924097706 9.68383924097706 9.68383924097706 9.68383924097706 9.68383924097706 9.68383924097706 9.68383924097706 9.68383924097706 9.68383924097706
1968 9.13138017049392 9.13138017049392 9.13138017049392 9.13138017049392 9.13138017049392 9.13138017049392 9.13138017049392 9.13138017049392 9.13138017049392 9.13138017049392 9.13138017049392 9.13138017049392
1969 9.15586627411935 9.15586627411935 9.15586627411935 9.15586627411935 9.15586627411935 9.15586627411935 9.15586627411935 9.15586627411935 9.15586627411935 9.15586627411935 9.15586627411935 9.15586627411935
1970 8.42626618679944 8.42626618679944 8.42626618679944 8.42626618679944 8.42626618679944 8.42626618679944 8.42626618679944 8.42626618679944 8.42626618679944 8.42626618679944 8.42626618679944 8.42626618679944
1971 9.09738989329206 9.09738989329206 9.09738989329206 9.09738989329206 9.09738989329206 9.09738989329206 9.09738989329206 9.09738989329206 9.09738989329206 9.09738989329206 9.09738989329206 9.09738989329206
1972 8.43016955213921 8.43016955213921 8.43016955213921 8.43016955213921 8.43016955213921 8.43016955213921 8.43016955213921 8.43016955213921 8.43016955213921 8.43016955213921 8.43016955213921 8.43016955213921
1973 9.26378694718434 9.26378694718434 9.26378694718434 9.26378694718434 9.26378694718434 9.26378694718434 9.26378694718434 9.26378694718434 9.26378694718434 9.26378694718434 9.26378694718434 9.26378694718434
1974 9.30059495592367 9.30059495592367 9.30059495592367 9.30059495592367 9.30059495592367 9.30059495592367 9.30059495592367 9.30059495592367 9.30059495592367 9.30059495592367 9.30059495592367 9.30059495592367
1975 8.97389919361474 8.97389919361474 8.97389919361474 8.97389919361474 8.97389919361474 8.97389919361474 8.97389919361474 8.97389919361474 8.97389919361474 8.97389919361474 8.97389919361474 8.97389919361474
1976 9.66161834762834 9.66161834762834 9.66161834762834 9.66161834762834 9.66161834762834 9.66161834762834 9.66161834762834 9.66161834762834 9.66161834762834 9.66161834762834 9.66161834762834 9.66161834762834
